date,id_bike,trip_time,distance,max_speed,velocity,odo,ride_time
2021-04-30,1,1,20.54,33.3,20.54,4498.78,250.460277777778
2021-05-01,1,1,17.5,33,17.5,4516.28,251.460277777778
2021-05-02,1,1,19.91,33.9,19.91,4536.19,252.460277777778
2021-05-03,2,1.80916666666667,29.59,50.2,16.355596499309,170.37,8.84916666666667
2021-05-06,1,1,20.67,33.1,20.67,4556.86,253.460277777778
2021-05-08,1,1,21.7,33.7,21.7,4578.56,254.460277777778
2021-05-09,2,1,20,55.4,20,190.37,9.84916666666667
2021-05-10,1,2.62472222222222,40.89,51.1,15.5787914064981,4619.45,257.085
2021-05-11,2,0.947222222222222,17.61,52.1,18.5912023460411,207.98,10.7963888888889
2021-05-15,2,1.52833333333333,20.83,42.3,13.629225736096,228.81,12.3247222222222
2021-05-16,2,3.29861111111111,58,62.3,17.5831578947368,286.81,15.6233333333333
2021-05-17,1,1,19.69,33.8,19.69,4639.14,258.085
2021-05-18,1,1,18.89,30,18.89,4658.03,259.085
2021-05-19,1,1,20.97,31.8,20.97,4679.0,260.085
2021-05-22,1,1,20.48,32.4,20.48,4699.48,261.085
2021-05-23,2,1.29277777777778,22.89,47.7,17.7060593038246,309.7,16.9161111111111
2021-05-24,1,1,20.41,32.1,20.41,4719.89,262.085
2021-05-26,1,1,20.34,32.8,20.34,4740.23,263.085
2021-05-29,2,0.747777777777778,14.51,40.7,19.4041604754829,324.21,17.6638888888889
2021-05-30,1,1,21.21,45.2,21.21,4761.44,264.085
2021-05-31,2,1.58916666666667,23,41.9,14.4729942317776,347.21,19.2530555555556
2021-06-01,1,1,22.87,34.3,22.87,4784.31,265.085
2021-06-02,2,0.761666666666667,14.34,41.2,18.8271334792122,361.55,20.0147222222222
2021-06-06,2,0.641111111111111,10.55,53.9,16.4558058925477,372.1,20.6558333333333
2021-06-07,1,1.29416666666667,35.54,70.6,27.4616870573084,4819.85,266.379166666667
2021-06-08,1,0.700555555555556,13.98,49.6,19.9555908009516,4833.83,267.079722222222
